Emotion,Text
neutral,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?"
neutral,"Uhh, the ball thing."
neutral,Yeah?
joy,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!"
neutral,"Uhh,"
joy,Okay!
fear,Uh-oh.
neutral,What?
sadness,I have to pee. And Rachel's in the bathroom!
fear,"I know!  Don't switch hands, okay?"
neutral,Hey.
neutral,Hey!
neutral,How did it go with Erin?
joy,"Oh, unbelievable! We had the best time!"
joy,"Yay!! Oh so, you’re not, you’re not mad at us anymore?"
joy,No!
joy,No!
joy,No!
joy,You guys were totally right!
joy,This is so much better than the first time we went out.
neutral,Y’know?
neutral,"That was so awkward, we were really nervous."
neutral,Didn’t you sleep together?
neutral,"Yeah, that really calms me down."
joy,And!
joy,We have so much in common!
joy,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a"
neutral,Okay.
neutral,I cannot sleep in a public place.
joy,Would you look at her? She is so peaceful.
neutral,"It's okay, y'know, you just nodded off again."
anger,I got no sleep last night!
neutral,Why?
neutral,"Oh, and deaf."
neutral,"So they're constantly, like, having to reassure each other that they're having a good time."
neutral,"Well, if you want, you can stay with Rachel and me tonight."
joy,Thanks.
neutral,"It's just her water breaking. Calm down, will you?"
neutral,"Breathe, breathe, breathe."
anger,Okay! You don’t think I thought of that?
joy,I mean that’s unbelievable.
neutral,"I mean, was it Gina?"
neutral,Which one is Gina?
neutral,"Dark, big hair, with the airplane earrings."
neutral,"No, no, no, that’s Dina."
neutral,"I don’t know, you thought ‘See you Saturday’ was funny."
neutral,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with."
neutral,You guys would never want to go to a lecture with me.
joy,Pa-haa!! I would love to go with you.
neutral,"Yeah, hey I-I have clothes, I even pick them out."
neutral,"I mean for, for all you know I could be a fashion..... monger."
joy,"Okay. Honey, I would love for you to go with me.  What?"
fear,"What should I wear, now I’m all nervous."
joy,": I know, we did it!! Hey, that was incredible, huh?!"
joy,"I know, it was amazing! I mean, we totally nailed it, it was beautiful."
joy,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball."
joy,"Oh well, okay, good luck."
neutral,: Yeah.
neutral,Unless you wanna practice the Foxtrot again? Or-or the Tango?
neutral,": Ahh, thanks but no. You see I-I think I’m ready to dance with girls."
neutral,Okay.
neutral,: Yeah.
neutral,Go get ‘em Treeger.
neutral,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend."
neutral,": Yeah, you could dance real good with her, she’s the same size as me."
neutral,"No, I’m good."
neutral,"Well, unfortunately, I don't get many callbacks so"
neutral,Who knows?
neutral,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much."
joy,Yes!! I knew it!!  Bye-bye! So long! Later!
joy,Oh this is great! I might actually get to play Ben's dad!
joy,Yeah!
neutral,"Actually, that can't happen."
neutral,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben."
neutral,So it'll be either you two  or you two.
sadness,"Man, this is gonna be kinda weird."
neutral,"Yeah, it is."
neutral,"No, we-we're gonna be like best friends, that's why it's gonna be weird."
sadness,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue."
joy,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new."
anger,Please!
anger,Are you kidding?
anger,"I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am."
joy,"And it’s all because of you, wonderful, amazing you."
fear,I think you’ve got concussion.
joy,"No, no, I’m serious. Thank you."
fear,You’re welcome.  I’m sorry. Did I hurt you?
sadness,"It’s worth the pain.  Y’know what, you know what? It’s not."
joy,"I do! Want a hint? huh? ""I do""  ""I do""."
neutral,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee."
joy,David is going to propose to Phoebe.
anger,"Chandler, we have talked about this."
anger,You are not supposed to give people advice!
anger,Now couldn't you just have made some sort of inappropriate joke?
neutral,I
anger,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!
anger,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone"
neutral,"Oh, that's not what you want..."
neutral,"This is my father, Paul Stevens. Dad, this is Ross Geller."
joy,It-it’s great to meet you Paul.
neutral,I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.
neutral,"Of course, of course, Mr. Stevens."
anger,"So Ross, what your problem?"
anger,Why can’t you get a girlfriend your own age?
fear,That’s funny. Umm….  It’s not funny.
neutral,I
neutral,Okay.
neutral,"I can, I can see that."
fear,"Umm, but I think if you give me umm, one chance I can, I can change your mind."
neutral,Okay.
neutral,What?
anger,Okay. I’ll give you one chance to change my mind.  You got one minute.
neutral,"Oh well, it’s not on TV yet."
neutral,"Well, then it’s not on the wall yet."
neutral,"Okay, fine, I will bring you a tape, huh?"
neutral,"So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?"
neutral,"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore."
neutral,"Oh, boy scouts could have camped under there."
neutral,Uma Thurman.
neutral,Thanks Rach.
joy,You have to tell her!
joy,You have to tell her!
anger,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!"
anger,Guys?
anger,Guys?
neutral,"Oh, yeah, you have to tell her."
neutral,Feminist issue. That's where I went!
fear,She is gonna hate me.
neutral,"Yeah, well..."
fear,Will you marry me?
joy,It’s the big night! We wanted to wish you good luck!
neutral,"Yeah, yeah you have the ring?"
neutral,"Yeah, right here in my pocket.  Pheebs?"
neutral,Yeah-yeah you guys. Get out of here!
neutral,Hi guys.
joy,You are beautiful.
joy,"Oh, thank you!   What’s going on?"
neutral,We’re just really…very excited about this charity event that we have to go to.
neutral,"Okay umm, Ross?"
neutral,"I'm-I'm really warm, so I'm going to be taking off my sweater."
neutral,"Now, I'm just letting you know that this is"
joy,Yep! That's hilarious!
neutral,I'm sorry. I'm done. I'm done.
neutral,"Y'know, last night was embarrassing for you too."
neutral,"No, not really. I mean you've seen me naked hundreds of times."
neutral,Uh-huh. But it was a first for the rest of my building.
neutral,"Okay. All right, that's true! But y'know I just don't embarrass that easily."
neutral,"No, I don't! Ross, I think I'm just a more secure person than you are."
neutral,Is that so?
neutral,Yeah.
joy,I did it!
joy,I rode a bike!
joy,I never thought I’d be able to do that!
joy,Thank you Ross.
joy,"Oh hey, don’t thank me, thank yourself. You’re the one who faced her fears and ultimately overcame them."
neutral,"Hey, both you guys should be up there with me."
neutral,"I mean, you two are-are my… I mean, I’m lucky to have just one good"
neutral,Thanks man.
neutral,I gotta go check something over here.
sadness,What a baby.
sadness,Total wuss!
neutral,"Okay, we have a lot of options here, a number of prototypes for you to try on."
joy,Wow! This looks great!
joy,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna."
anger,You kissed another woman!
neutral,Call it even?!
joy,Okay!
neutral,"Well, I’m gonna go get these  in some water."
neutral,"No-no, I took them from the hotel lobby."
anger,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming."
anger,Happy?! Is that what I’m supposed to be Vic? Happy?
anger,"Well, why don’t you tell me what you’re supposed to be!"
anger,Because I sure as hell can’t figure it out!
anger,I talk to you and nothin’.
anger,"You look at me, and it’s nothin’."
anger,Nothing.
joy,"Tasty! I’m really starting to feel like you guys have a history, it’s-it’s nice."
neutral,I have a question about this scene.
neutral,Yes?
neutral,"Peel the onion. First of all, he’s good looking."
neutral,Yeah.
neutral,I think my character’s gonna need a little bit more of reason than that.
neutral,"Oh, hey, how about this one."
anger,"Ah, it’s says so in the script!"
anger,"Y'know ah, I-I don’t know why my character likes you either, I mean it says in the script here that you’re a bitch."
anger,It doesn’t say that in the script.
anger,It does in mine!
anger,I can’t
anger,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.
neutral,Y’know who has a great video camera?
neutral,Greg and Jenny?
neutral,Do you still wanna call ‘em? I wanna call ‘em.
neutral,Let’s call ‘em.
joy,Yeah! Ask them if they brought their friends any souvenirs!
neutral,Hello?  Eighth street deli?
fear,"Uh sorry, wrong number."
neutral,Here you go.
joy,All right! I’ll have a sandwich!
sadness,I don’t think this number’s right!
sadness,Oh come on!!
sadness,"Gotta go. I miss you too, I love you, but it's getting real late now"
neutral,Her name's Ronni. She's a pet mortician.
neutral,Sure. So how long you been...
neutral,"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?"
neutral,"No, it's only been six years."
neutral,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.
neutral,...Joe.
neutral,Y'ever been in love?
neutral,...I d'know.
neutral,Then y'haven't. You're burning your tomatoes.
neutral,"Joe, your dad's in love big time. And the worst part of it is, it's with two different women."
neutral,"Everything’s gonna be all right. Okay, Dick?"
neutral,"Hey, Rach, how was work?"
neutral,"Oh, great. Although I did sit down where there wasn’t a chair."
neutral,"By the way, Ross dropped by a box of your stuff."
neutral,"Oh, well, I guess I had that one coming."
neutral,"I’m just gonna throw it out, it’s probably just a bunch of shampoo and..."
neutral,Something wrong?
neutral,No. Nothing.
neutral,"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century."
neutral,Yeah.
sadness,"Dude, I am sorry about what I said!"
neutral,It’s not that bad.
anger,"Yes it is! From now on, I have no first name."
neutral,"So, you’re just Bing?"
joy,Because we won our apartment back!
anger,"No! Ace is low! Ace, two, three, four!"
neutral,"All right, cut, let’s pick again, pick again."
neutral,Okay.
anger,Come on apartment! Come on apartment!  Oh! I know queen is high!
joy,Yeah baby!
joy,"But, we pick again! We pick again!"
neutral,Why?!
fear,I don’t know!
joy,Tickets please!  That’s courtside baby!
joy,No they didn’t!
neutral,"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?"
neutral,It's gonna be worth it.
neutral,"It's a known fact that women love babies, all right?"
neutral,Women love guys who love babies.
neutral,It's that whole sensitive thing.
neutral,"Quick, aim him at that pack o' babes over there."
neutral,Maybe one of them will break away.
joy,"No, no wait, for get them, we got one, hard left."
neutral,"All right, gimme the baby."
neutral,"No, I got him."
neutral,Hello.
neutral,You wanna smell him?
joy,"Oh, yeah. He's got that great baby smell. Get a whiff of his head."
joy,What'd I tell you? What'd I tell you?
neutral,"Well, we are great guys."
neutral,Bye.
neutral,"Well, not really."
neutral,"I mean technically it’s-it’s not against the rules or anything, but it is frowned upon."
anger,"Especially by that professor we ran into last night, Judgey von Holierthanthou."
joy,"Well Ross, you be careful now. You don’t want to get a reputation as y’know Professor McNailshisstudents."
fear,Yeah. What-what should I do?
neutral,"Well Ross, it seems pretty clear."
neutral,I mean what’s more important?
neutral,"What people think or how you feel, huh?"
neutral,"Ross, you gotta follow your heart."
joy,Joey that is so sweet.
neutral,Hey.
neutral,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?"
sadness,I couldn’t do it.
neutral,"Hey, relax I just need more time. We’re going to dinner tonight."
neutral,Going out with who?
neutral,"Uh, Dana Keystone from college."
neutral,"No, that was Dana Caplin."
anger,Ah whatever!
joy,"Morning! Hey, how’s my favorite genius and my little robot buddy?!"
anger,Don’t touch him!
neutral,All right.
neutral,"Umm, all right Wayne, level with me."
fear,I-I keep hearing all these rumors that I might get fired.
fear,"Okay, they even have actors coming in to read for my part!"
sadness,"Come on man, you-you got to give me a second chance!"
joy,"I mean, I love-I love this little guy!"
neutral,Here you go!
neutral,Okay?
anger,Stupid!
anger,God!
neutral,"Hey, how you doin’?"
neutral,Hey.
sadness,"Hi. Look um, about what happened earlier..."
neutral,"No, hey, well, I-I completely understand. You were, you were stressed."
anger,For what? For letting you throw me out of your office?
anger,You had no
anger,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I."
anger,"But I told you, I didn’t have the time!"
anger,"Yeah, well you never have the time. I mean, I don’t feel like I even have a girlfriend anymore, Rachel."
anger,"Wh, Ross what do you want from me?"
anger,"You want me, you want me to quit my job so you can feel like you have a girlfriend?"
neutral,I know.
joy,"Ooh, I have to tell you something."
neutral,What?
neutral,But I can’t tell you.
neutral,"Okay, but wouldn’t it be easier if you had to tell me something that you could tell me."
neutral,"Well, sure in a perfect world. But, no, I promised I wouldn’t tell, and I swore to like all my gods."
neutral,Okay. Does it have to do with Ross and Rachel?
neutral,No.
neutral,Does it have to do with Joey?
neutral,No.
neutral,Does it have to do with-with Chandler and that sock that he keeps by his bed?
neutral,"No, but let’s come back to that later!"
joy,Hi!
joy,Richard!
neutral,"Actually, I’m not here to complement the chef."
neutral,"Ohh… Oh, that’s okay I hate when people come back to complement the chef."
neutral,Like I have nothing better to do!
neutral,So what’s up?
joy,"Well, it was great seeing you the other night."
neutral,"Oh, good to see you too. Did you come down here to tell me that?"
joy,No! I came here to tell you something else.  I came here  to tell you I still love you.
sadness,So forcing her to marry Bobby is gonna make that happen?
anger,"Maybe!  Well! Well…so-so uh, what kind of music does Numb Nuts—Oh forget it! I can’t!"
fear,"Joey, I am scared to death about this."
fear,"But I really think I can do it, I’m just gonna need some help."
neutral,And Bobby’s gonna be here the whole time.
joy,"You bet I am!  And to answer your earlier question, we’re straight-up gangster rap."
anger,"Look, Rachel’s told me how much easier you’ve made all this on her. Why can’t you do that for me?"
sadness,Because! ‘Cause… ‘Cause you’re my baby sister!
joy,And you’re my big brother!
neutral,"I mean, you’re my favorite guy in the whole world."
neutral,I’m not even scared to tell mom and dad.
fear,I was scared of telling you.
fear,"Well I’d be scared of them, but all right."
sadness,"Joey, I can’t stand the thought of having this baby with you mad at me."
sadness,I want him to have his uncle.
sadness,Is my baby gonna have his Uncle Joey?
joy,Of course he’s gonna have his Uncle Joey!
joy,"We’re gonna be all right. I mean, even if we’re not married this baby is gonna be so loved. Not just by us."
joy,That’s right! By his uncle too!
joy,And by you.
neutral,"Okay Bobby, why don’t we just come over here and let them have a little moment."
joy,Come here!
anger,No! Seriously! What’s wrong with you?!
joy,I had a really nice time tonight.
joy,So did I. I'm really glad Monica asked us out.
neutral,"I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch."
neutral,"Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel."
joy,Hi!
neutral,Like it would help.
joy,You are so bad!
joy,You are!
joy,You are!
joy,You are!
joy,You are!
joy,You are!
joy,You are!
joy,You are so dead! I'm gonna get you.
neutral,"Uh, it was very nice meeting you."
neutral,"Hi Mom, it's Jill."
neutral,"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule."
neutral,Jill says vestibule... I'm going with vestibule.
neutral,"I'm fine. No, I'm not alone... I don't know, some guy."
joy,"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was"
neutral,Are you seeing anybody right now?
fear,"Og-ee-op, I’m not asking for me, I’m… I mean… No, I’m-I’m not gay, I’m not asking you out."
fear,I’m not-I’m not-I’m not gay!
neutral,Personal shopping? What is that? Like where you walk around with snooty rich people and tell them what to buy?
neutral,Uh-huh.
neutral,Hey!
anger,"Umm, excuse me, we switched apartments. You can’t eat are food anymore, that-that gravy train had ended."
neutral,If you have the big apartment you have to deal with people coming over all the time.
neutral,"That fridge has got to be stocked, okay, that’s your department now."
neutral,What are you doing?
neutral,I think I left a donut up here.
neutral,"So, in conclusion, the lines all go up , so I’m happy."
joy,Great job team!
neutral,Tomorrow at 8:30.
joy,Phil!
joy,Nice job.
joy,Stevens!
joy,Way to go!
joy,"Joel-burg, you maniac!"
joy,I love ya!
joy,Bing!
neutral,"Oh, excuse me. I forgot my briefcase y'know, by accident."
joy,"Of course, you did."
joy,Forgot something else too ya bastard!
neutral,"Well, what about you?"
neutral,You’re not feeling left out or anything are ya?
sadness,"No. No, not at all, that’s-that’s ridiculous."
joy,"Everybody else got one, and you want one too. Don’t you?"
sadness,"Ye-ye-yeah, yes I do!"
joy,"Now get on out of here, you!"
neutral,Hey Bob.
joy,Hey! How’s my pal Toby doing today?
neutral,"If I see him, I’ll ask."
joy,Toby!
joy,Yeah!
neutral,Oh then you know each other.
neutral,We’re on a semi-first name basis.
neutral,What do you think of adding him to our team?
neutral,But this is eleven. It’s almost twice as hard up here.
joy,Hey! Guess what I got for your wedding!
neutral,A freakish thin date with a hanger for her head?
joy,"No. Rachel hooked me up with a tux! But not just any tux, Batman’s tux!"
joy,That’s right! Made expressly for Val Kilmer and worn by him in the hit film…that Batman film he was in.
anger,You can’t wear that! I’m wearing the famous tux! James Bond’s tux!
neutral,So?
sadness,So—If you wear that you’ll make mine less special.
anger,"Sorry, I just don’t like the idea of when I say ""I do,"" he’s thinking, ""Yeah, I’d do her too!"""
neutral,Well then we still have a problem.
neutral,Yeah!
neutral,With what?
neutral,"Well, we’re trying to find someone to perform our wedding and they’re all either boring or annoying or y’know, can’t stop staring at the ladies."
joy,Oo! You should have one of us do it!
neutral,"Phoebe, we’re getting"
joy,No! No! It’s-it’s uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!
joy,I call it!!
anger,What?! No! It was my idea!
neutral,Guys thank you very much but neither of you is marrying us.
anger,Does calling it not mean anything anymore?!
neutral,"We are going to have a legitimate member of the clergy! And when I say legitimate I mean, gay and in control of his saliva!"
joy,"See, I see.... big passion in your future."
neutral,I do.
joy,"Oh Ross, you're so great. [she playfully rubs his head and gets up]"
neutral,"That was supposed to be a good thing, I forget why."
neutral,"Just listen, Monica, I, do you know, okay, do you know, I couldn’t sleep for like a month because I got like a dot of ink on one of the sofa cushions."
neutral,"Well, you-you coulda just turned the cushion over."
neutral,"Yeah, I would’ve except I had a big spaghetti stain on the other side."
neutral,"Okay, this is what I’m talking about, this. I-I need to live in a land where people can spill."
neutral,You can spill. In the sink.
sadness,"Aw, honey it’s not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don’t see that happening."
joy,"I love you, too."
joy,"Aww, good.  What?"
sadness,What? I’m just said.
neutral,"No you’re not, you’re wondering which cushion it is."
neutral,Uh-huh.
joy,I would love to live with you Ross.. that’s-that’s great! Thank you!
neutral,"Well, I’m-I’m just glad I could, y’know, help you out."
joy,"Ross-Ross, you have no idea what this means to me!"
sadness,"I mean, I mean I was gonna be homeless."
joy,You just saved me!
joy,You’re my hero!
neutral,"Hero, I uh, I don’t know—well, all right."
joy,"Oh, I have to go tell Monica what a wonderful brother she has!"
joy,"Oh please!   You’re gonna say things now, aren’t ya?"
neutral,No.
neutral,"No, I won’t."
neutral,"But I should tell you this, this exact same thing happened to my roommate Denise."
anger,"She moved in with a guy who was secretly married to her and he said he didn’t love her, but he really did, and it just blew up!"
anger,"...Dammit, hire the girl!  Okay, everybody ready?"
joy,"Uh, listen, I just wanna thank you for this great opportunity."
neutral,Lose the robe.
joy,That's great.
neutral,"Well, I'm gonna get another espresso. Can I get you another latte?"
neutral,"No, no, I'm still working on mine."
sadness,"Yeah, it was really hard."
neutral,"Oh, yeah, that hug looked pretty brutal."
anger,"Ok, you weren't there."
joy,"Wow! That’s ah, that’s pretty nice!"
neutral,Pretty nice?
neutral,"You’ll have to pardon my roommate, he wanted to marry this."
neutral,"We don’t have 50 bucks, but would you be willing to trade for it? We’ve got a canoe."
neutral,"Y'know, I, I really don’t think we need a canoe."
anger,You gotta take the canoe!
neutral,"All right, just, just take the entertainment center, and then when you get home, throw the canoe away!"
anger,We’re not throwing it away! I built that canoe!
anger,Good for you!!
neutral,Pheebs?
neutral,Yeah?
neutral,"Okay. Then I guess it’s just, wait here then.   Hi. I need one fake ticket to Yemen."
neutral,"Oh no-no-no, no. No, no, no, I just, I just need a pretend ticket."
neutral,What would you give to a kid if he wanted a ticket to play with?
neutral,Are you travelling with a child?
neutral,No.
neutral,"All right, y’know what, she’s  gonna think that I’m handing you a credit card, but what I’m really gonna do is hand you a library card."
neutral,"Okay, but this is the last time."
joy,"With a chick-chick here, and a chick-chick there."
joy,"Here a chick, there a chick, everywhere a chick-chick--chickeeeen."
neutral,Hey.
neutral,Hey.
neutral,How’s she doing?
neutral,"Well yeah, don’t-don’t you think it’s a she?"
neutral,"I don’t know.  I can’t tell, what ever it was went back in too quickly."
neutral,"Well, anyway, I got to go change, I’m ah, meeting some of the cast for drinks."
neutral,What?
joy,"Okay, good, so there you go. Go with Vince."
neutral,"Yeah, but Jason's really sensitive."
neutral,"Well sensitive is important, pick him."
neutral,Yeah.
anger,Jason is not a sissy!
anger,"Oh no-no-no-no, I meant Chandler."
neutral,Hi.
neutral,"So uh, apparently people are familiar with the Europe story?"
neutral,Yeah.
neutral,"Listen about that, the whole uh, who came on to who thing really doesn’t matter."
neutral,"I mean, I think it would’ve happened either way."
neutral,I mean if you hadn’t initiated it I-I-I know I would’ve.
joy,It was an amazing night.
joy,It was. It was an amazing night.
sadness,You think it looked amazing?
neutral,Do we have a name yet?
neutral,"No, not yet."
neutral,"That’s fine, for now we’ll just call her Baby Girl Green."
neutral,"Oh no, Baby Girl Geller-Green."
joy,Hello baby girl.
joy,"Ah-ha, nowhere to run!"
anger,I don’t like sitting up here! I’m just gonna over
anger,No Rachel! They got here first!
neutral,Why is Ross doing that?
fear,DANGER
neutral,No that’s all right. Don’t worry about it.
joy,Rach! Hey! It’s fine! You’re at Joey’s!
neutral,Yeah! Look!
neutral,I know.
neutral,"All right, don’t waste it, I mean its still food."
neutral,"Hey Joey, is this the bed where Olivia lost her virginity?"
