Emotion,Text
sadness,i am feeling miserable but c i am also the proudest mum on earth
sadness,i can feel my ovaries aching talking to me as i like to put it
sadness,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff
sadness,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well
anger,i feel angered and firey
sadness,i feel like a miserable piece of garbage
anger,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything
anger,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner
anger,i remember feeling so hellip furious with the shooter
sadness,i feel so worthless during those times i was struggling finding work
fear,i will be able to lay on my bed in the dark and not feel terrified at least for a while
anger,im feeling bitter today my mood has been strange the entire day so i guess its that
sadness,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours
anger,i am letting go of the animosity that is towards anyone that i feel has wronged me
sadness,i feel like throwing away the shitty piece of shit paper
sadness,i hear are owners who feel victimized by their associations the associations attorneys or the property manager
anger,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country
sadness,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness
sadness,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling
sadness,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair
sadness,im not feeling homesick yet so im feeling alright about this
fear,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town
fear,i had stated to her the reason i feel so fearful is because i feel unsafe
fear,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch
sadness,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet
anger,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter
fear,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it
anger,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it
anger,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious
sadness,i do not feel miserable at all because my family is not the type that celebrates eid
sadness,i still feel sleep deprived she is almost sleeping through the night giving us
anger,i just feel really violent right now
sadness,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be
anger,i feel disgusted to even be associated with this woman by my race and nationality
anger,i laughed then bitterly again but i wasnt feeling bitter
sadness,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever
fear,i told him that maybe i just need time to think how ive been feeling indecisive about things lately
fear,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off
fear,i feel strange coming back to work after my one day holiday
anger,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet
sadness,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls
anger,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either
sadness,i feel so sad and hopeless
fear,im getting the feeling that my classes are a little intimidated by the concept of a lit
sadness,i still feel groggy but i have to get up to do the routine for my son
fear,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures
anger,i know there are days in which you feel distracted
anger,im feeling distracted i tend to practice with my eyes shut as much as possible
fear,i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol
fear,i also didn t feel very weird sleeping in my bed while the two of them slept in hers
sadness,i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy
sadness,i am no fan of the current president i am a conservative and it made me feel unwelcome
fear,i feel vulnerable and alone
sadness,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving
fear,i think im just being stupid feeling nervous
anger,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended
sadness,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me
sadness,i died would alex and matt feel regretful for not coming to visit
anger,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling
sadness,i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage
fear,i feel now so uncomfortable with all of them i guess is me
fear,i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances
sadness,i legs would feel shitty for a few miles but would come around like they always do
fear,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now
sadness,i feel abused and maligned but mostly tired of the nervous feeling anticipating danger
fear,i am feeling pretty restless right now while typing this
sadness,i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy
sadness,i wrote last year when i was feeling more dull and inarticulate than normal
anger,id kick myself into gear but i just feel irritable with no motivation what so ever
anger,i will start to feel resentful
sadness,i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once
anger,i feel so fucked like everyday of my life
sadness,i am feeling disheartened with my words as of late
anger,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off
sadness,i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam
anger,i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again
anger,im feeling cranky
sadness,i feel stressed always
sadness,i remember feeling another cramp but i also ignored it
sadness,i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom
sadness,im feeling awful because we hung out with my friend and her new baby the day before
sadness,i feel the suffering and i really feel the pain
fear,i just feel terrified like im on the edge of a precipice staring ahead
sadness,i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time
anger,i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views
sadness,i feel as if i was abused in some way
anger,im still paying attention but i feel distracted
sadness,i can feel myself gaining control over the damaged goods aspects of my personal security
sadness,i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax
sadness,i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets
anger,i have my own mind and i feel like my mind is dangerous to my life
sadness,i feel as if i should be punished for neglecting you
sadness,i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially
sadness,i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions
sadness,i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know
sadness,id just had a terrible nightmare and was feeling a little disturbed
sadness,i didnt want to walk passed there just in case the customers feel disturbed
sadness,i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone
fear,i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good
sadness,i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain
sadness,im sick of feeling crappy
sadness,i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us
anger,i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days
sadness,i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad
sadness,i personalities that can feel pain and suffering
sadness,i was warming up starting feeling a little lethargic
sadness,im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom
sadness,i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling
sadness,ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness
fear,i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way
sadness,i can finally stop feeling listless and like a waste of space
fear,i know im feeling agitated as it is from a side effect of the too high dose
fear,fear of thief
anger,i always spend more money there than i mean to and feel dissatisfied when i exit the store
anger,im feeling really quite angry
sadness,i feel really ashamed
anger,i is starting to feel a bit insulted by this stranger
sadness,i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter
sadness,i actually feel sorrowful
anger,i see women wearing boots i feel envious that i want to curse them
sadness,i began to feel each of my senses dull until the cold black unconsciousness over came me
anger,i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented
sadness,i feel empty when the baby isnt there
sadness,i stopped feeling so exhausted a href http provokingbeauty
fear,i always feel intimidated by other people especially when they always compare me to other people ever since i was young
sadness,i be made to feel rotten
anger,i started feeling hostile and i am checking my hemorrhoids
fear,i didnt say was that strong feelings always make me skeptical at first
fear,i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up
anger,i feel like i m on the receiving end of a violent attack
sadness,i feel like im just on the edge in this microcosm one more awkward moment or missed party and id be on the outside
sadness,i feel burdened to share it
fear,i feel confused after that
anger,i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies
anger,i feel envious and embarrassed
fear,i could feel the frantic need in him the need to make me his
anger,i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other
sadness,i wouldnt have beared witness to the incredibly well spoken bouncer making an emo kid feel completely unwelcome
sadness,i tend to stop breathing when i m feeling stressed
fear,i was a smoker for years and quit weeks ago right after i finished your book and i cant believe how free i feel i knew that i had to quit but i was terrified of my life without cigarettes
fear,i am already feeling frantic
anger,i should feel complimented or insulted
sadness,i crave as i fall into submission and i did not feel submissive in the least
anger,i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber
sadness,i made it to work but i am feeling a little groggy
sadness,im starting to feel unwelcome in life and some people can already tell this
anger,i feel bitter and just honkerblonked off in general
sadness,i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable
sadness,i close my eyes i can hear the pitiful wailing sounds of my own cries taste the salty taste of my tears and feel that anger and hurt saturating my heart
anger,im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage
sadness,i am feeling pretty worthless right now
sadness,i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused
fear,i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen
anger,i do feel envious of those with kids at certain moments
sadness,i was feeling like a pretty crappy mom
anger,im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week
fear,i still feel vulnerable around him
sadness,im then left feeling quite embarrassed as i say that nothings new
sadness,i feel unwelcome and out of place buti cant decide if i am just too scared to do anything about this ok situation or if i am staying here in this dead end situation because i am afraid things will get worse
sadness,i feel is still really low in my abdomen
fear,i feel this is doubtful
fear,i feel hesitant about talking about this
sadness,i try to get in at least minutes a day five days a week though i have been known to skip a workout if i m feeling particularly lethargic or lazy
sadness,i have been feeling beaten down sick and utterly devoid of hope that i will ever have the life i want
fear,i feel hesitant to comment because i don t want to add to a pileon but it seems clear to me that those involved haven t learned from their past experiences nor are they interested in applying that learning to future projects
sadness,i find myself having much more time to think about myself without feeling depressed to actually be able to write and imagine without feeling trapped or like i am missing out on something a near constant feeling i have in cities
sadness,i feel like ive had to fake my feelings a lot more often then i would have liked to
sadness,im really like she said only you can understand the way i feel toni ight she blamed excesses on the merican dream so seldom witnessed never er seen hah hah hah hah hah
sadness,i dont know where i want to work because there will always be something that makes me feel stressed or anxious at work whatever the job may be as all jobs require some sort of rules or pressure
anger,i feel like normally i would be angry because thats what i actually think that i could never be beautiful at my size
sadness,i wonder how many people are against my do it only when you feel like it perspective but i think if you do it for the sake of doing it without wanting to do it then it will turn out to be the result of crappy work
fear,i feel indecisive on whether or not i feel the book huckleberry finn should be censored
sadness,i should have known she likes kamiki kun he laughs nozomi feels an unpleasant knot in her stomach you must think i m a fool don t you nonchan
anger,i feel like im more hated than celebrated and i cant wait till the day i can say i made it
fear,i have been feeling so overwhelmed lately
anger,i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them
fear,im contemplating and feeling skeptical
sadness,ive become anxious about in recent times is this there is certainly a feeling amongst some people of belief that they are under siege that they are often disadvantaged that they are looked at and considered in some way different and their faith makes them less worthy of regard he said
anger,i feel like i should care that im a bit heartless not to
sadness,i hate chemo and the thought of having toxins washing through every single cell and making me feel horrible makes me cringe
anger,i feel bitchy because i am hurting too
sadness,i always feel like ive been assaulted by his pics
sadness,i feel incredibly isolated and lonely
anger,i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible
sadness,i was i admit very worried about feeling isolated i work in a cubicle pretty much on my own unless someone needs me
sadness,i make light of it but sometimes i feel really awkward in small groups and in one on one conversations
sadness,i also feel like if google hated seo we d know it
anger,i feel like you feel this is a mistake but time is fucked up sleep won t take
fear,i found myself in the novel position of feeling a bit uncertain about the stock market rally
sadness,i feel like she s judging me and he s not here and i don t want to seem like the needy girl so i don t know
sadness,i feel burdened by her presence
sadness,i feel really pathetic confronted with some
anger,i feel there are dangerous games or activities
sadness,i am feeling terribly burdened by impending anxiety i am trying to just keep my eyes on the prize
sadness,im feeling gloomy as i have completed nothing though im supposed to complete many things
sadness,i was soo quiet it was a mixture of not sleeping well and feeling a bit isolated from the big group
anger,i do feel that they are greedy and money hungry absolutely
anger,i feel so fucked up now i want to shut myself up
sadness,i feel like today is way suffering than the exam day which we have to open books everytime we went home
sadness,i feel miserable on the inside but on the outside i just like i
anger,i must find a way to accept these limitations until they are older without feeling held back or resentful
anger,i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us
anger,im currently feeling way fucked up with the mother tongue paper
fear,i am always so sensitive and my every sense feels like it is being assaulted as i drag myself away from the darkness
fear,i couldnt help but feel totally distraught and utterly helpless when lorena was kidnapped and tortured almost to death by a band of enemies i was desperate for her freedom
sadness,i feel i was unfortunate with both mister magnum and sounds of cheers travelling well for long periods of the race
anger,i feel tortured and tragic enough as it is without having any importance or sparkle
anger,i feel selfish thinking this way but i feel so lonely at times
sadness,i feel drained of energy
sadness,i am feeling pretty stinkin shitty for being such a horrible reviewer
sadness,i feel helpless about it
sadness,i was feeling awful on sunday
fear,i just woke up from my nap and i feel extremely agitated and grumpy
sadness,ive been studying really hard for it and discovering pretty words that never crossed my mind and how they portray the exact meaning and i feel like ive missed out a lot
sadness,i feel lonely at work im not a social bird as i usually am when i was in school
fear,i feel intimidated by the great women in my family tree
sadness,i think this may be the reason i would want to fly back to uae because there i can be oblivious of these conflicts that plague me conflicts that i feel helpless resolving
sadness,i saw the video of cena kissing maria and surprisingly i didnt feel like i hated her
anger,i feel like i have been rather unkind to it
sadness,i was not feeling submissive
anger,i do feel a bit obnoxious it is definately the weather
anger,i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath
sadness,i sat on my couch for several hours feeling pretty low
fear,i will say that a little piece of me feels agitated when i watch discussions on race and there will i style color font family georgia serif font size px line height
anger,i feel a little frustrated an ache of longing has settled into my heart the weariness of life his slipped around my shoulders like an unwelcome friend
sadness,i even remember trying them on last year and feeling crappy because i was nowhere near closing them
fear,i broke my uncles radio player accidentally and so i feared that he was going to cut me off from going to his house as well as playing it again
anger,i was feeling impatient and took pills
sadness,i did at one point put my son in daycare but my mom constantly made me feel like a terrible parent because of it
fear,i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation
anger,i feel like my go to emotion is angry
sadness,ive had too much training in grammar and language and reading something written like this kind of feels like im being assaulted
anger,i is feeling insulted because everyone is comparing sneha with her
sadness,i know scones are not a must have food but i am determined to live a frugal lifestyle without feeling deprived
fear,i giggle nervously when i feel threatened
sadness,i feel that horrible helplessness to make things better for them and that feels like it will kill me inside
sadness,i have a few more of these but after taking pictures of my house i feel it is far too messy to post photos online so ill clean up a bit before i post those
sadness,i feel hated loathed
fear,i picked up feeling a little apprehensive
sadness,ive been feeling very numb
anger,im feeling every bit the spiteful vindictive bitch i can be at times
sadness,i feel that is very unfortunate that i dont own the soundtrack
fear,i can t believe it i feel so nervous but my father reassures me that there is nothing to be nervous about which only makes me more nervous
fear,i feel uptight my day is complete when hes around i feel so right a little nervs i dream about what we can do date and all the things we can pursue wedding i always dream that your mine very day min
anger,i didn t think that it would come that fast or would come at all but i suppose it is because i feel cranky today
anger,i have the feeling that im going to be stubborn about it
sadness,i feel lonely and lost
sadness,i would feel empty
anger,i start to feel agitated lacking in patience and just down right cranky
anger,i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad
fear,i didnt tell you because i didnt want you to feel afraid
sadness,i feel as though i am being a little neglectful of my fellow bloggers
fear,i sort of hate glasses because they make my eyes look small and since huge eyes is all i have going for me it was quite an upset but im hoping these bigger frames will make me feel less paranoid
fear,i feel distressed music on my mind rewrite fma op
sadness,im feeling quite lonely here now and its only monday of half term
sadness,i feel really socially awkward and dont like to get out and meet new people and do things in groups and be adventurous
sadness,i feel horrible because i feel horrible made worse by the fact that i havent gotten to workout
anger,i would hate to be bit imagine if the secretary is feeling irritable that day eh
sadness,i quickly trotted off he added i feel embarrassed to ask hoping i would enter into some kind of conversation with him
sadness,i hated that when i got drunk the whole next day was spent sleeping and feeling groggy
fear,i would want to welcome into my home if i end up feeling my mommyhood threatened by my inability to breastfeed my baby
anger,i feel agitated and the result is not pleasant the opposite of calm and peaceful
fear,i had horrible anxiety dreams every night last week and it made me feel really paranoid and of course all of that reading about conspiracy theories and unsolved crimes online didnt hugely help matters
anger,i truly feel but its somehow not enough for me to hate him or to get mad
fear,i remember feeling uncertain about myself when i was young and especially when i became a teenager
sadness,i feel is that i cant get far enough away from what feeds melancholy for long enough that it would just wither and die off
anger,i want to enter in defiance but coming from a different culture i feel offended that i am not allowed
anger,i was feeling rebellious so i ate it
anger,i do feel agitated restless or on edge quite often
fear,i feel uncomfortable using the word awesome but this idea actually is
anger,i feel like i should have actively hated every single second rather than just borne it all
fear,im feeling indecisive and it scares me
anger,i feel a violent tug at my eye socket
fear,i believe that what was displayed is a deep emotional yearning for semblance of normality peace since it appears the dancing arabs did not feel threatened by a fully armed soldier
sadness,i was left feeling discouraged and hopeless once again
sadness,i feel that this is going to get very messy to get fixed and back on the road again
anger,i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run
anger,i was tempted to feel a little bitter but then i saw this
fear,i feel kind of insecure here anyways back to doha
fear,i am grateful that i no longer feel a frantic urge to fix the emotional upsets of those around me
sadness,i feel quite strongly that students should be punished due to how well or badly they have faired compared to a completely unrelated group of people
sadness,i feel at least dating them would not be in vain
anger,i really am feeling horribly irritable and a little bit depressed
fear,i simply said how sorry i am and just got out from her car and got into my house feeling restless
fear,ive been feeling a bit paranoid like its really noticable that im off and that everyone can see that
fear,i am at the bus stop and i hear the squeak of a baachan trolley i feel a little paranoid
anger,im feeling rushed and like i should have planned certain things this summer that i can no longer do
anger,i feel that cold breeze
anger,i try to breathe in when i feel frustrated and breathe out the calm that i desire
sadness,i knew where things was headed but that didnt really prepare me for the heartbreak even i would feel my heart broke for danielle and all other military wives that have had to go thru losing their husband trying to protect our country
fear,i ended up shoeless making me feel even more vulnerable and slowing me down further
anger,i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business
sadness,i feel lonely few days before my birthday
fear,i had envisioned and intended im just feeling unsure whether i got that vision and intention right
sadness,i was feeling so low about myself
sadness,i feel sorry for rafael bosch
sadness,i hope for is that those certain people can attend to more important things in their lives but still come back to blogging if they feel they missed blogging
sadness,i begin to feel unpleasant about anime fandom in general
sadness,i am feeling miserable and sick but hoping that with the amount of sleep i am getting i havent had much choice i have had zero energy cold meds vitamins and lots of fluids i have high hopes to feel better tomorrow
anger,im feeling cranky and horrible
sadness,i feel troubled because of the ongoing relocation of our front door
fear,im feeling a combination of terrified and relieved
anger,i really feel i was wronged as a patient
fear,i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed
fear,i feel so shaken and guilty for not being a better mother and shielding my offspring from this health problem
anger,i feel like a greedy little traitor i m looking looking among these covers hey little snotface take me
anger,i feel like i was a rude ass hole at hookah
sadness,i feel heartbroken for bryan
sadness,i feel like i had fake everything
anger,i was made to feel like it was my fault that i couldn t control my husband and his violent behavior if they even believed it existed
anger,i feel disgusted when need to act cute like the actions of gwiyomi
fear,i was feeling nervous sure just like anyone else would be in my position
fear,i was older i might not feel as frightened about spending the time i have left alone
sadness,im an introvert by which i mean i get re energized being alone and preferably in a quiet place so times in the crew galley when there are a lot of people in a relatively small place all talking at once can leave me feeling drained and in need of a dark room with nothing but whale noises
sadness,i just feel so discontent about my life these days
anger,i feel truly impatient that this is taking so long
anger,i want to say how i want to feel just come out so bitter and angry
anger,i know what it feels like to face irate customers
sadness,i have always had people in my life who have gone out of their way to put me down trip me up or make me feel as if i were completely moronic or not worthy enough
sadness,i prep myself for another sleepless night i can t help but feel ashamed of myself for feeling this way
fear,i still feel shaky is because in the worst hit areas the damage and destruction is so complete
sadness,i wouldn t throw it in the ocean but i don t feel i would have missed something in my career if i don t win an oscar
sadness,im not used to feeling the dependency or the neediness for being needy is not me or at least wasnt prior to recently
fear,i feel uncertain and uneasy
fear,i feel nervous about going back to america not knowing what to expect the transition to be like
fear,i started to feel kind of skeptical about this myself
sadness,i keep these things predominantly for fix functions and will not arranged right now to create a style applying twelve months previous ingredients until i m feeling much more perverse than usual
anger,i havent worked out today but i feel like im just not going to feel it ive been so stressed at work and just in life that this week is just bad
sadness,i feel sad and discouraged
fear,im feeling agitated and pour more brandy on my coffee
sadness,i feel rejected and unwanted
sadness,im feeling lousy i may dismiss a gorgeous day if im feeling bright and cheerful then the most dreary of days becomes tolerable
fear,i sense this is wat has let you feeling unsure
fear,i am feeling very apprehensive about the future at the moment
fear,i am not a very extremely good friend of someone of course i feel reluctant to some extent if i have to do favours for that someone
fear,i was sleeping in my room but woke in the middle of the night to think i could hear noises and see shadows moving i felt that someone was in the house
anger,i sometimes feel resentful that this has come into our lives at this time
sadness,i sometimes feel disheartened when i realise just how far from my own culture i am
sadness,i feel hopeless and out of control
sadness,i feel horrible that i had to cancel on one of my best guy friends but the trip was stressing me out because my babysitting hours got cut and i couldn t afford it
sadness,i climbed a mountain and made my way to a village where the people stared at me the children looked frightened and ran away and everyone i came across asked me why i was there in such a way as to make me feel unwelcome
sadness,i dont feel inhibited and i can work out my problems
sadness,i have done so in hopes of being inspiring while at the same time looking for solace from people rather than god and for proof that maybe i can do something good while i feel so horrible
sadness,im feeling melancholy with all the back to school stuff today
fear,i begin to have these doubts my stomach clenches my heart races and i feel fearful
anger,i feel like i have been really cranky at school these days
fear,i walia feels suspicious about tarun and bani
anger,i do not feel like i am hostile toward others just that i fail to be nice to them
anger,i wake up feeling cranky and out of sorts
anger,i say that i feel like im being tortured by him
anger,i cant help looking back on the child i was and feeling rather jealous but i am also delighted to be living in a time when a nine year old child in some parts of the world can read a thousand books a year if she he wishes and is able to
anger,im feeling a bit cranky today
anger,i even dare to say that some of the biggest stiller and or vaughn haters still could get some enjoyment out of this movie and not feel annoyed by their performances and characters
fear,i had then these were truly terrifying and still feel shaken and uneasy because of them
sadness,i begin to feel burdened by things amp long to be empty again
sadness,i feel so numb f
fear,i sit here tonight i m pensive tense and feeling a little fearful
sadness,i am limiting myself to what i can reasonably do without causing greater injury but i have to do some sort of physical exercise or i start to feel horrible about myself
anger,i was feeling pretty cranky this morning and stopping in here really made me feel a lot better
anger,i didnt feel the cold up there because we had a fire every night
anger,im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there
sadness,i started to feel discouraged at the thought of being there more than one day
sadness,im already feeling sentimental about his time as a newborn as he was so wee and has sadly outgrown some fave thrifted outfits
anger,i finish typing this post i realise i m ok no longer do i feel annoyed angry or even sad
anger,i refuse to rate the book but if she and her publisher feel snobbish then take it from me when i say jeanette winterson cannot write and essentially does not do wish to do anything with the scope to explore
anger,i feel petty even though the thoughts arent real fleshed out thoughts just these fluttering i should feel like this kind of thoughts
fear,i felt sad and apprehensive and angry that i d had vertigo and that it had left me feeling uncertain
fear,i have admitted defeat and asked the other half to come back from the lake coz i just feel so uptight already
sadness,i feel if journalists then blamed me
sadness,i feel like im not pretty enough like my personality is too boring and obnoxious
sadness,i have switched songs as that one was beginning to make me feel a little melancholy and who the fuck needs that
sadness,i feel embarrassed to talk to him at times because i feel very small in those moments like he is doing me a favor and i do not deserve to be given attention
sadness,i sound so entitled but you cant help but to feel disappointed even though you already knew you were going to be
anger,i remember feeling how my husband felt when i would see people being rude to my mom and mom just being her sweet self to them
sadness,i was feeling remorseful about my breakfast and so i took a diet pill
sadness,i feel as though the concept of lifestyle change rather than weight loss has been beaten to death but it really is something that i believe in and am currently experiencing
sadness,i do not know what my next steps are but i no longer feel lost
sadness,i have been feeling awful
anger,i remember feeling a little jealous and realized that our time together wasnt solely about me but that he has a larger network of social interactions all ready in progress before i got there
anger,i feel impatient yet i am not fully sure what i am searching for
anger,i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought
sadness,i was starting to feel a little stressed
fear,i have to admit i am feeling a bit intimidated by the challenge of
fear,i think i was feeling vulnerable due to the stress of having to buy a new sewing machine and printer
sadness,i feel ashamed to have not read it yet
